epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59317,1.66362,5.1689,1.40532,0.01692,0.06278,0.01554,0.01021,1.30965,4.33103,1.07994,3.07687e-05,3.07687e-05,3.07687e-05
2,14.099,1.35563,4.11883,1.15316,0.84425,0.05573,0.04803,0.03058,1.28907,3.01128,1.20133,6.05456e-05,6.05456e-05,6.05456e-05
3,20.6679,1.36479,2.92444,1.24962,0.94768,0.10269,0.12068,0.07583,1.28872,1.81558,1.36799,8.9095e-05,8.9095e-05,8.9095e-05
4,27.2085,1.35014,2.11471,1.28697,0.95199,0.12491,0.14672,0.09321,1.28787,1.35536,1.36175,8.74758e-05,8.74758e-05,8.74758e-05
5,33.8381,1.33272,1.69412,1.28288,0.96714,0.13865,0.1717,0.10996,1.29541,1.1374,1.36487,8.56344e-05,8.56344e-05,8.56344e-05
6,40.3365,1.3249,1.49309,1.2732,0.90984,0.15209,0.19543,0.1265,1.28503,1.01281,1.35383,8.3793e-05,8.3793e-05,8.3793e-05
7,46.8742,1.31496,1.35452,1.26841,0.71926,0.1956,0.22084,0.14443,1.28799,0.94281,1.34697,8.19516e-05,8.19516e-05,8.19516e-05
8,53.4279,1.3027,1.27752,1.26973,0.62094,0.22091,0.2423,0.15755,1.28698,0.91219,1.35595,8.01102e-05,8.01102e-05,8.01102e-05
9,60.0091,1.29305,1.21721,1.25591,0.63223,0.26531,0.2738,0.17997,1.26698,0.85111,1.33635,7.82688e-05,7.82688e-05,7.82688e-05
10,66.6571,1.29084,1.1811,1.25577,0.64284,0.29254,0.30601,0.20549,1.2627,0.86027,1.32905,7.64274e-05,7.64274e-05,7.64274e-05
11,73.2209,1.2805,1.14005,1.2558,0.59973,0.32291,0.3417,0.23032,1.27318,0.81547,1.33879,7.4586e-05,7.4586e-05,7.4586e-05
12,79.7238,1.27633,1.11804,1.25054,0.60746,0.36266,0.36792,0.24981,1.26507,0.79795,1.3336,7.27446e-05,7.27446e-05,7.27446e-05
13,86.3138,1.27831,1.10307,1.24835,0.48404,0.37863,0.40864,0.27915,1.26563,0.77746,1.3332,7.09032e-05,7.09032e-05,7.09032e-05
14,92.8617,1.27219,1.066,1.2481,0.58321,0.40599,0.44317,0.30379,1.2596,0.76345,1.32506,6.90618e-05,6.90618e-05,6.90618e-05
15,99.4234,1.2671,1.04354,1.24128,0.54251,0.45169,0.4657,0.32014,1.25545,0.75187,1.32382,6.72204e-05,6.72204e-05,6.72204e-05
16,105.934,1.25675,1.03082,1.23672,0.57725,0.48043,0.49568,0.34055,1.26101,0.73712,1.32852,6.5379e-05,6.5379e-05,6.5379e-05
17,112.587,1.25885,1.02621,1.23721,0.68248,0.42987,0.50032,0.34567,1.26256,0.73085,1.32806,6.35376e-05,6.35376e-05,6.35376e-05
18,119.138,1.2612,0.99963,1.23826,0.63154,0.47107,0.54168,0.3771,1.25019,0.70677,1.32146,6.16962e-05,6.16962e-05,6.16962e-05
19,125.706,1.2509,0.9926,1.23384,0.60072,0.49998,0.55745,0.38747,1.25162,0.70276,1.31898,5.98548e-05,5.98548e-05,5.98548e-05
20,132.202,1.2495,0.991,1.23466,0.5571,0.54939,0.56015,0.39012,1.2546,0.69337,1.32654,5.80134e-05,5.80134e-05,5.80134e-05
21,138.731,1.25314,0.96536,1.23273,0.62649,0.52126,0.57199,0.39947,1.25587,0.68613,1.32678,5.6172e-05,5.6172e-05,5.6172e-05
22,145.182,1.24432,0.96521,1.23393,0.65796,0.52878,0.59343,0.41233,1.25801,0.68104,1.32709,5.43306e-05,5.43306e-05,5.43306e-05
23,151.666,1.24296,0.95485,1.22364,0.6532,0.52944,0.60747,0.42311,1.25287,0.67118,1.32675,5.24892e-05,5.24892e-05,5.24892e-05
